Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803841785430239,0.0139699721619877,b3916,b3708,b3008,b1851,b1200,b2797,b3117,b1814,b4471,b0261,b4381,b2868,b2366,b1723,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.508763408022574,0.249298140039286,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b0494,,,,,,,,,,,,,,,,,,,,,,,
33,0.45305473292909,0.225951986950864,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2779,b3617,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b1033,b2440,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,
33,0.618887649183902,0.149163929874561,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,
33,0.508763408022569,0.249298140034711,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3825,b0494,,,,,,,,,,,,,,,,,,,,,,,
33,0.504277689194757,0.251484863674023,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3844,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b4374,b0675,b2361,b2291,b0261,b0112,b0452,b0114,b0509,b3125,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,
33,0.506441295334507,0.252577467219766,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,
33,0.504272022333349,0.25148881164299,b2836,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,
34,0.594739596852457,0.174565111718636,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4069,b2502,b2744,b3708,b3008,b0871,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0335,b4381,b2406,b0112,b0114,b0728,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,
34,0.45305473292909,0.225951986952736,b3553,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b2779,b2926,b3617,b0030,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,
35,0.506444502348392,0.252579066654846,b3553,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b2883,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b0507,b4381,b0112,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3825,b0494,b3662,,,,,,,,,,,,,,,,,,,,,
